type,state,county,match_status,match_reason,matched_facility_count,matched_facilities,in_state_rate,out_of_state_rate
state,AK,,matched,state + DOC/correctional facility match,11,AK DOC - ANVIL MOUNTAIN CORRECTIONAL CENTER; AK DOC - FAIRBANKS CORRECTIONAL CENTER; AK DOC - GOOSE CREEK CORRECTIONAL CENTER; AK DOC - HILAND MOUNTAIN CORRECTIONAL CENTER; AK DOC - KETCHIKAN CORRECTIONAL CENTER; AK DOC - LEMON CREEK CORRECTIONAL CENTER; AK DOC - MAT-SU PRETRIAL FACILITY; AK DOC - PALMER CORRECTIONAL CENTER; AK DOC - POINT MACKENZIE CORRECTIONAL FARM; AK DOC - SPRING CREEK CORRECTIONAL CENTER; AK DOC - YUKON KUSKOKWIM CORRECTIONAL CENTER,0.085,0.085
state,AR,,matched,state + DOC/correctional facility match,21,AR DOC - BENNY MAGNESS UNIT; AR DOC - BENTON UNIT; AR DOC - CUMMINS UNIT; AR DOC - DELTA REGIONAL UNIT; AR DOC - DR MARY L PARKER-REED WOMEN'S UNIT; AR DOC - EAST ARKANSAS REGIONAL UNIT; AR DOC - ESTER UNIT; AR DOC - GRIMES UNIT; AR DOC - J AARON HAWKINS SR CENTER FOR WOMEN; AR DOC - LARRY B NORRIS UNIT; AR DOC - MCPHERSON UNIT; AR DOC - OMEGA TECHNICAL VIOLATOR CENTER; AR DOC - OUACHITA RIVER UNIT; AR DOC - PINE BLUFF UNIT; AR DOC - RANDALL L WILLIAMS FACILITY; AR DOC - STATE POLICE BARRACKS; AR DOC - TEXARKANA REGION CORRECTION CENTER; AR DOC - TUCKER UNIT; AR DOC - VARNER UNIT; AR DOC - WHITE RIVER CORRECTIONAL CENTER; AR DOC - WRIGHTSVILLE UNIT,0.06,0.06
state,AZ,,matched,state + DOC/correctional facility match,23,AZ DOC - DOUGLAS; AZ DOC - EYMAN BROWNING UNIT; AZ DOC - EYMAN COOK UNIT; AZ DOC - EYMAN MEADOWS UNIT; AZ DOC - EYMAN RYNNING UNIT; AZ DOC - EYMAN SMU I UNIT; AZ DOC - FLORENCE GLOBE; AZ DOC - FLORENCE MAIN; AZ DOC - FLORENCE WEST; AZ DOC - KINGMAN CORRECTIONAL; AZ DOC - LA PALMA CORRECTIONAL CENTER; AZ DOC - MARANA COMMUNITY TREATMENT CENTER; AZ DOC - PERRYVILLE; AZ DOC - PHOENIX ALHAMBRA; AZ DOC - PHOENIX WEST; AZ DOC - RED ROCK CORRECTIONAL CENTER/CCA; AZ DOC - SAFFORD; AZ DOC - SAFFORD FORT GRANT; AZ DOC - SAM LEWIS; AZ DOC - TUCSON; AZ DOC - WINSLOW; AZ DOC - WINSLOW APACHE UNIT; AZ DOC - YUMA,0.06,0.06
state,CO,,matched,state + DOC/correctional facility match,7,CO DOC - ARROWHEAD CORRECTIONAL CENTER (ACC/CMC); CO DOC - COLORADO STATE PENITENTIARY (CSP); CO DOC - DELTA CORRECTIONAL CENTER (DCC); CO DOC - DENVER RECEPTION & DIAGNOSTIC CENTER (DRDC); CO DOC - FOUR MILE CORRECTIONAL CENTER (FMCC/CMC); CO DOC - RIFLE CORRECTIONAL CENTER (RCC); CO DOC - SKYLINE CORRECTIONAL CENTER-THE BEACON (SCC/CMC),0.005,0.005
state,GA,,matched,state + DOC/correctional facility match,41,GA DOC - AL BURRUSS CORRECTIONAL TRAINING CENTER; GA DOC - APPLING INTEGRATED TREATMENT FACILITY; GA DOC - ARRENDALE STATE PRISON; GA DOC - AUGUSTA STATE MEDICAL PRISON; GA DOC - AUTRY STATE PRISON; GA DOC - BALDWIN STATE PRISON; GA DOC - CALHOUN STATE PRISON; GA DOC - CENTRAL STATE PRISON; GA DOC - COASTAL STATE PRISON; GA DOC - DODGE STATE PRISON; GA DOC - DOOLY STATE PRISON; GA DOC - EMANUEL UNIT; GA DOC - EMANUEL WOMEN'S FACILITY; GA DOC - GEORGIA DIAGNOSTIC & CLASSIFICATION STATE PRISON; GA DOC - GEORGIA STATE PRISON; GA DOC - HANCOCK STATE PRISON; GA DOC - HAYS STATE PRISON; GA DOC - HELMS FACILITY; GA DOC - JOHNSON STATE PRISON; GA DOC - LEE STATE PRISON; GA DOC - LONG UNIT; GA DOC - MACON STATE PRISON; GA DOC - MCRAE WOMEN'S FACILITY; GA DOC - METRO REINVESTMENT CENTER; GA DOC - MONTGOMERY STATE PRISON; GA DOC - PHILLIPS STATE PRISON; GA DOC - PULASKI STATE PRISON; GA DOC - ROGERS STATE PRISON; GA DOC - RUTLEDGE STATE PRISON; GA DOC - SMITH STATE PRISON; GA DOC - TELFAIR STATE PRISON; GA DOC - TIFT COLLEGE NON CUSTODY; GA DOC - TURNER RESIDENTIAL SUBSTANCE ABUSE TREATMENT FACILITY; GA DOC - VALDOSTA STATE ANNEX; GA DOC - VALDOSTA STATE PRISON; GA DOC - WALKER STATE PRISON/NW RESIDENTIAL TREATMENT FACILITY; GA DOC - WARE STATE PRISON; GA DOC - WASHINGTON STATE PRISON; GA DOC - WEST CENTRAL INTEGRATED TREATMENT FACILITY; GA DOC - WHITWORTH WOMENS FACILITY; GA DOC - WILCOX STATE PRISON,0.06,0.06
state,KY,,matched,state + DOC/correctional facility match,8,KY DOC - BELL FORESTRY CAMP; KY DOC - KENTUCKY CORRECTIONAL INSTITUTION FOR WOMEN; KY DOC - KENTUCKY STATE PENITENTIARY; KY DOC - KENTUCKY STATE REFORMATORY; KY DOC - LEE ADJUSTMENT CENTER; KY DOC - NORTHPOINT TRAINING CENTER; KY DOC - PSYCHIATRIC CENTER; KY DOC - ROSS CASH CENTER FOR WOMEN,0.14,0.14
state,MO,,matched,state + DOC/correctional facility match,19,MO DOC - ALGOA CORRECTIONAL CENTER; MO DOC - BOONVILLE CORRECTIONAL CENTER; MO DOC - CHILLICOTHE CORRECTIONAL CENTER; MO DOC - CROSSROADS CORRECTIONAL CENTER; MO DOC - EASTERN RECEPTION DIAGNOSTIC & CORRECTIONAL CENTER; MO DOC - FARMINGTON CORRECTIONAL CENTER; MO DOC - FULTON RECEPTION & DIAGNOSTIC CENTER; MO DOC - JEFFERSON CITY CORRECTIONAL CENTER; MO DOC - MARYVILLE TREATMENT CENTER; MO DOC - MISSOURI EASTERN CORRECTIONAL CENTER; MO DOC - MOBERLY CORRECTIONAL CENTER; MO DOC - NORTHEAST CORRECTIONAL CENTER; MO DOC - OZARK CORRECTIONAL CENTER; MO DOC - POTOSI CORRECTIONAL CENTER; MO DOC - SOUTH CENTRAL CORRECTIONAL CENTER; MO DOC - SOUTHEAST CORRECTIONAL CENTER; MO DOC - TIPTON CORRECTIONAL CENTER; MO DOC - WESTERN RECEPTION DIAGNOSTIC & CORRECTIONAL CENTER; MO DOC - WOMENS EASTERN RECEPTION DIAGNOSTIC & CORRECTIONAL CENTER,0.05,0.05
state,ND,,matched,state + DOC/correctional facility match,6,ND DOC - DAKOTA WOMEN'S CORRECTIONAL AND REHABILITATION CENTER; ND DOC - HEART RIVER CORRECTIONAL CENTER; ND DOC - JAMES RIVER CORRECTIONAL CENTER; ND DOC - JAMES RIVER MINIMUM UNIT; ND DOC - MISSOURI RIVER CORRECTIONAL CENTER; ND DOC - NORTH DAKOTA STATE PENITENTIARY,0.079,0.079
county,AL,CHILTON,matched,state blocked record linkage; top score 90,1,CHILTON COUNTY JAIL,0.21,0.21
county,AL,PERRY,matched,state blocked record linkage; top score 90,1,PERRY COUNTY JAIL,0.21,0.21
county,AR,MISSISSIPPI,matched,state blocked record linkage; top score 90,1,MISSISSIPPI COUNTY DETENTION CENTER,0.21,0.21
county,AZ,APACHE,matched,state blocked record linkage; top score 90,1,APACHE COUNTY JAIL,0.21,0.21
